Date,Vegetable,SellingPrice
1/1/2024,Artichoke,500
1/8/2024,Artichoke,500
1/15/2024,artichoke,500
1/22/2024,Artichoke,500
1/29/2024,Artichoke,500
2/5/2024,Artichoke,500
2/12/2024,Artichoke,500
2/19/2024,Artichoke.,500
26-2-2024,Artichoke,500
3/4/2024,Artichoke,
3/11/2024,Artichoke,375
3/18/2024,Artichoke,346
3/25/2024,Artichoke,125
4/1/2024,Artichoke ,288
4/8/2024,Artichoke,200
4/15/2024,Artichoke,200
4/22/2024,Artichoke,200
4/29/2024,Artichoke,250
5/6/2024,Artichoke,200
5/13/2024,Artichoke,250
5/20/2024,Artichoke,250
5/27/2024,Artichoke,250
6/3/2024,Artichoke,250
6/10/2024,Artichoke,250
6/17/2024,Artichoke,333
6/24/2024,Artichoke,17
7/1/2024,Artichoke,500
7/8/2024,Artichoke,500
7/15/2024,Artichoke,500
7/22/2024,Artichoke,500
7/29/2024,Artichoke,500
8/5/2024,Artichoke,500
8/12/2024,Artichoke,500
8/19/2024,artichoke,500
8/26/2024,Artichoke,500
9/2/2024,Artichoke,500
9/9/2024,Artichoke,500
9/16/2024,Artichoke,500
9/23/2024,Artichoke,500
9/30/2024,Artichoke ,500
10/7/2024,Artichoke,500
10/14/2024,Artichoke,500
10/21/2024,Artichoke.,500
10/28/2024,Artichoke,500
11/4/2024,Artichoke,500
11/11/2024,Artichoke,500
11/18/2024,Artichoke,500
11/25/2024,Artichoke ,500
12/2/2024,Artichoke.,500
12/9/2024,Artichoke,500
12/16/2024,Artichoke,500
12/23/2024,Artichoke,500
1/1/2024,Arugula,35
1/8/2024,Arugula,23
1/15/2024,Arugula,20
1/22/2024,Arugula,15
1/29/2024,Arugula,13
2/5/2024,Arugula,10
2/12/2024,Arugula,13
2/19/2024,Arugula,24
2/26/2024,Arugula,30
3/4/2024,Arugula,45
3/11/2024,Arugula,20
3/18/2024,Arugula,15
3/25/2024,Arugula,15
4/1/2024,Arugula,17
4/8/2024,Arugula,23
4/15/2024,Arugula,12
4/22/2024,Arugula,13
4/29/2024,Arugula,20
5/6/2024,Arugula,15
5/13/2024,Arugula,25
5/20/2024,Arugula,27
5/27/2024,Arugula,26
6/3/2024,Arugula,25
6/10/2024,Arugula,23
6/17/2024,Arugula,17
6/24/2024,Arugula,20
7/1/2024,Arugula,25
7/8/2024,Arugula,20
7/15/2024,Arugula,35
7/22/2024,Arugula,30
7/29/2024,Arugula,25
8/5/2024,Arugula,25
8/12/2024,Arugula,20
8/19/2024,Arugula,20
8/26/2024,Arugula,20
9/2/2024,Arugula,25
9/9/2024,Arugula,20
9/16/2024,Arugula,12
9/23/2024,Arugula,
9/30/2024,Arugula,8
10/7/2024,Arugula,10
10/14/2024,Arugula,10
10/21/2024,Arugula,15
10/28/2024,Arugula,25
11/4/2024,Arugula,18
11/11/2024,Arugula,20
11/18/2024,Arugula,17
11/25/2024,Arugula,10
12/2/2024,Arugula,17
12.9.2025,Arugula,12
12/16/2024,Arugula,17
12/23/2024,Arugula,20
1/1/2024,Cabbage,35
1/8/2024,Cabbage,30
1/15/2024,Cabbage,30
1/22/2024,Cabbage,27
1/29/2024,Cabbage,23
2/5/2024,Cabbage,40
2/12/2024,Cabbage,19
2/19/2024,Cabbage,40
